git dataset,algorithm,k,mfis_found,time_ms,memory_mb,final_minsup
mushroom_medium,UFPMax,5,5,908,33.9,1711.2250
mushroom_medium,UFPMax,10,10,954,48.3,1225.8200
mushroom_medium,UFPMax,20,20,963,51.0,973.7111
mushroom_medium,UFPMax,50,50,1178,20.8,613.8818
mushroom_medium,UFPMax,100,100,1323,40.5,477.5452
mushroom_medium,UGenMax,5,5,162,21.7,2451.6400
mushroom_medium,UGenMax,10,10,146,29.5,1975.6800
mushroom_medium,UGenMax,20,20,176,32.2,1332.9249
mushroom_medium,UGenMax,50,50,298,18.7,955.0903
mushroom_medium,UGenMax,100,100,443,37.3,720.7973
retail_medium,UFPMax,5,5,16604,203.9,936.8188
retail_medium,UFPMax,10,10,17116,123.4,1124.0406
retail_medium,UFPMax,20,20,17315,66.3,646.7700
retail_medium,UFPMax,50,50,18135,106.8,320.2135
retail_medium,UFPMax,100,100,23936,149.2,123.6950
retail_medium,UGenMax,5,5,594,105.0,2248.0811
retail_medium,UGenMax,10,10,560,102.0,1630.3800
retail_medium,UGenMax,20,20,675,108.0,741.7100
retail_medium,UGenMax,50,50,1531,131.0,519.7920
retail_medium,UGenMax,100,100,4755,101.1,260.6100
accidents_medium,UFPMax,5,5,91714,870.4,79626.5850
accidents_medium,UFPMax,10,10,93513,837.3,68708.7550
accidents_medium,UFPMax,20,20,106020,862.7,54132.3350
accidents_medium,UFPMax,50,50,133575,818.7,35942.4150
accidents_medium,UFPMax,100,100,130276,1130.5,30161.8108
accidents_medium,UGenMax,5,5,10396,1351.9,137417.5100
accidents_medium,UGenMax,10,10,12057,829.8,108264.6700
accidents_medium,UGenMax,20,20,14791,1382.9,75921.6721
accidents_medium,UGenMax,50,50,12351,1346.7,60157.3825
accidents_medium,UGenMax,100,100,17999,1187.2,47454.8183
